N = 10
Test Case, Bubble Sort, Insertion Sort, Selection Sort
19, 0.000000, 0.000000, 0.000000
20, 0.015000, 0.000000, 0.000000
21, 0.000000, 0.000000, 0.000000
22, 0.000000, 0.000000, 0.000000
23, 0.000000, 0.000000, 0.000000
24, 0.000000, 0.000000, 0.000000
25, 0.016000, 0.000000, 0.000000
26, 0.000000, 0.000000, 0.000000
27, 0.000000, 0.000000, 0.000000
28, 0.000000, 0.000000, 0.000000
29, 0.000000, 0.000000, 0.000000
30, 0.000000, 0.015000, 0.000000
Average, 0.001033, 0.000500, 0.001567
N = 5000
Test Case, Bubble Sort, Insertion Sort, Selection Sort
1, 0.032000, 0.015000, 0.032000
2, 0.031000, 0.015000, 0.032000
3, 0.046000, 0.016000, 0.016000
4, 0.047000, 0.015000, 0.016000
5, 0.047000, 0.015000, 0.016000
6, 0.047000, 0.016000, 0.031000
7, 0.031000, 0.016000, 0.031000
8, 0.047000, 0.000000, 0.031000
9, 0.062000, 0.032000, 0.047000
10, 0.093000, 0.031000, 0.063000
11, 0.094000, 0.031000, 0.047000
12, 0.094000, 0.031000, 0.047000
13, 0.093000, 0.032000, 0.062000
14, 0.094000, 0.031000, 0.047000
15, 0.094000, 0.031000, 0.047000
16, 0.094000, 0.031000, 0.062000
17, 0.094000, 0.031000, 0.047000
18, 0.094000, 0.031000, 0.062000
19, 0.094000, 0.016000, 0.062000
20, 0.094000, 0.031000, 0.047000
21, 0.094000, 0.031000, 0.063000
22, 0.093000, 0.032000, 0.046000
23, 0.094000, 0.031000, 0.047000
24, 0.094000, 0.031000, 0.063000
25, 0.093000, 0.032000, 0.047000
26, 0.093000, 0.032000, 0.046000
27, 0.094000, 0.031000, 0.063000
28, 0.094000, 0.031000, 0.015000
29, 0.047000, 0.016000, 0.016000
30, 0.046000, 0.016000, 0.031000
Average, 0.075467, 0.025000, 0.042733
N = 10000
Test Case, Bubble Sort, Insertion Sort, Selection Sort
1, 0.188000, 0.062000, 0.094000
2, 0.187000, 0.063000, 0.094000
3, 0.203000, 0.047000, 0.109000
4, 0.187000, 0.047000, 0.110000
5, 0.187000, 0.063000, 0.093000
6, 0.203000, 0.047000, 0.094000
7, 0.422000, 0.109000, 0.219000
8, 0.437000, 0.109000, 0.219000
9, 0.438000, 0.109000, 0.219000
10, 0.437000, 0.109000, 0.219000
11, 0.422000, 0.047000, 0.093000
12, 0.204000, 0.046000, 0.110000
13, 0.187000, 0.063000, 0.093000
14, 0.188000, 0.062000, 0.094000
15, 0.203000, 0.047000, 0.094000
16, 0.203000, 0.047000, 0.109000
17, 0.187000, 0.047000, 0.110000
18, 0.375000, 0.125000, 0.218000
19, 0.425000, 0.125000, 0.219000
20, 0.422000, 0.109000, 0.219000
21, 0.437000, 0.125000, 0.219000
22, 0.422000, 0.078000, 0.094000
23, 0.187000, 0.063000, 0.093000
24, 0.188000, 0.062000, 0.094000
25, 0.203000, 0.047000, 0.109000
26, 0.188000, 0.047000, 0.109000
27, 0.187000, 0.047000, 0.110000
28, 0.187000, 0.062000, 0.094000
29, 0.360000, 0.109000, 0.219000
30, 0.437000, 0.109000, 0.219000
Average, 0.283367, 0.074400, 0.139633
Summary
N, Bubble Sort, Insertion Sort, Selection Sort
10, 0.000000, 0.000000, 0.000000
20, 0.000000, 0.000000, 0.000000
50, 0.000000, 0.000000, 0.000000
100, 0.000000, 0.000000, 0.000000
200, 0.000500, 0.000000, 0.000000
1000, 0.001033, 0.000500, 0.001567
5000, 0.075467, 0.025000, 0.042733
10000, 0.283367, 0.074400, 0.139633
