N = 10
Test Case, Bubble Sort, Insertion Sort, Selection Sort
Test Case, Bubble Sort, Insertion Sort, Selection Sort
1, 4950, 2535, 4950
2, 4950, 2325, 4950
3, 4950, 2765, 4950
4, 4950, 2530, 4950
5, 4950, 2479, 4950
6, 4950, 2150, 4950
7, 4950, 2688, 4950
8, 4950, 2533, 4950
9, 4950, 2529, 4950
10, 4950, 2106, 4950
11, 4950, 2753, 4950
12, 4950, 2653, 4950
13, 4950, 2228, 4950
14, 4950, 2675, 4950
15, 4950, 2506, 4950
16, 4950, 2782, 4950
17, 4950, 2753, 4950
18, 4950, 2391, 4950
19, 4950, 2424, 4950
20, 4950, 2436, 4950
21, 4950, 2703, 4950
22, 4950, 2419, 4950
23, 4950, 2655, 4950
24, 4950, 2358, 4950
25, 4950, 2409, 4950
26, 4950, 2820, 4950
27, 4950, 2815, 4950
28, 4950, 2353, 4950
29, 4950, 2681, 4950
30, 4950, 2508, 4950
Average, 4950.000000, 2532.066667, 4950.000000
N = 200
Test Case, Bubble Sort, Insertion Sort, Selection Sort
1, 19900, 10900, 19900
2, 19900, 10611, 19900
3, 19900, 10316, 19900
4, 19900, 9234, 19900
5, 19900, 10040, 19900
6, 19900, 10286, 19900
7, 19900, 10169, 19900
8, 19900, 9853, 19900
9, 19900, 9932, 19900
10, 19900, 10115, 19900
11, 19900, 11192, 19900
12, 19900, 10385, 19900
13, 19900, 10281, 19900
14, 19900, 10165, 19900
15, 19900, 10043, 19900
16, 19900, 9815, 19900
17, 19900, 9831, 19900
18, 19900, 10263, 19900
19, 19900, 9759, 19900
20, 19900, 9218, 19900
21, 19900, 9589, 19900
22, 19900, 10713, 19900
23, 19900, 10255, 19900
24, 19900, 10384, 19900
25, 19900, 9892, 19900
26, 19900, 10001, 19900
27, 19900, 9992, 19900
28, 19900, 9248, 19900
29, 19900, 10043, 19900
30, 19900, 9931, 19900
Average, 19900.000000, 10081.866667, 19900.000000
N = 1000
Test Case, Bubble Sort, Insertion Sort, Selection Sort
1, 499500, 254481, 499500
2, 499500, 241977, 499500
3, 499500, 245997, 499500
4, 499500, 258473, 499500
5, 499500, 256734, 499500
6, 499500, 252132, 499500
7, 499500, 247362, 499500
8, 499500, 255101, 499500
9, 499500, 246804, 499500
10, 499500, 247379, 499500
11, 499500, 250206, 499500
12, 499500, 247517, 499500
13, 499500, 253279, 499500
14, 499500, 248923, 499500
15, 499500, 255341, 499500
16, 499500, 253761, 499500
17, 499500, 248833, 499500
18, 499500, 245978, 499500
19, 499500, 242648, 499500
20, 499500, 257965, 499500
21, 499500, 242635, 499500
22, 499500, 248214, 499500
23, 499500, 258932, 499500
24, 499500, 244177, 499500
25, 499500, 245480, 499500
26, 499500, 246315, 499500
27, 499500, 246454, 499500
28, 499500, 246731, 499500
29, 499500, 248271, 499500
30, 499500, 246558, 499500
Average, 499500.000000, 249488.600000, 499500.000000
N = 5000
Test Case, Bubble Sort, Insertion Sort, Selection Sort
1, 12497500, 6257740, 12497500
2, 12497500, 6230884, 12497500
3, 12497500, 6338179, 12497500
4, 12497500, 6240253, 12497500
5, 12497500, 6323580, 12497500
6, 12497500, 6253160, 12497500
7, 12497500, 6301281, 12497500
8, 12497500, 6279734, 12497500
9, 12497500, 6205088, 12497500
10, 12497500, 6258589, 12497500
11, 12497500, 6260348, 12497500
12, 12497500, 6264727, 12497500
13, 12497500, 6212619, 12497500
14, 12497500, 6215276, 12497500
15, 12497500, 6085885, 12497500
16, 12497500, 6372204, 12497500
17, 12497500, 6362730, 12497500
18, 12497500, 6288662, 12497500
19, 12497500, 6172487, 12497500
20, 12497500, 6285870, 12497500
21, 12497500, 6276496, 12497500
22, 12497500, 6249426, 12497500
23, 12497500, 6282414, 12497500
24, 12497500, 6348162, 12497500
25, 12497500, 6212845, 12497500
26, 12497500, 6264633, 12497500
27, 12497500, 6293346, 12497500
28, 12497500, 6245925, 12497500
29, 12497500, 6135191, 12497500
30, 12497500, 6160539, 12497500
Average, 12497500.000000, 6255942.433333, 12497500.000000
N = 10000
Test Case, Bubble Sort, Insertion Sort, Selection Sort
1, 49995000, 24736528, 49995000
2, 49995000, 25252649, 49995000
3, 49995000, 25063930, 49995000
4, 49995000, 25030322, 49995000
5, 49995000, 24957154, 49995000
6, 49995000, 25027919, 49995000
7, 49995000, 25217683, 49995000
8, 49995000, 24993955, 49995000
9, 49995000, 25116925, 49995000
10, 49995000, 24840126, 49995000
11, 49995000, 24864005, 49995000
12, 49995000, 24839340, 49995000
13, 49995000, 25001867, 49995000
14, 49995000, 24954755, 49995000
15, 49995000, 24943667, 49995000
16, 49995000, 25113451, 49995000
17, 49995000, 25247211, 49995000
18, 49995000, 24759694, 49995000
19, 49995000, 25128136, 49995000
20, 49995000, 25148700, 49995000
21, 49995000, 25225282, 49995000
22, 49995000, 25191949, 49995000
23, 49995000, 25159976, 49995000
24, 49995000, 24922675, 49995000
25, 49995000, 25273642, 49995000
26, 49995000, 24858733, 49995000
27, 49995000, 24761638, 49995000
28, 49995000, 25038489, 49995000
29, 49995000, 25485264, 49995000
30, 49995000, 25255399, 49995000
Average, 49995000.000000, 25047035.466667, 49995000.000000
Summary
N, Bubble Sort, Insertion Sort, Selection Sort
10, 45.000000, 28.766667, 45.000000
20, 190.000000, 113.933333, 190.000000
50, 1225.000000, 677.000000, 1225.000000
100, 4950.000000, 2532.066667, 4950.000000
200, 19900.000000, 10081.866667, 19900.000000
1000, 499500.000000, 249488.600000, 499500.000000
5000, 12497500.000000, 6255942.433333, 12497500.000000
10000, 49995000.000000, 25047035.466667, 49995000.000000
